nodes,services,secondsexectime,kwhelectricity
10,10,0.0478792,0.000006
20,20,0.0639579,0.000009
30,30,0.1094821,0.000004
40,40,0.1348369,0.000007
50,50,0.1736183,0.000012
60,60,0.2498634,0.000009
70,70,0.2833060,0.000006
80,80,0.3779315,0.000019
90,90,0.4042979,0.000007
100,100,0.3889034,0.000014
100,200,0.7124945,0.000013
100,300,1.4297917,0.000024
100,400,2.1975990,0.000021
100,500,3.2378191,0.000023
100,600,5.1226156,0.000033
100,700,7.8126540,0.000049
100,800,11.2184914,0.000063
100,900,9.6222623,0.000060
100,1000,10.0528451,0.000068
200,100,0.8131047,0.000010
200,200,1.7501729,0.000022
200,300,3.1946279,0.000022
200,400,3.2028352,0.000031
200,500,5.5310422,0.000037
200,600,7.7316048,0.000044
200,700,10.1290556,0.000059
200,800,15.8310021,0.000112
200,900,21.3698882,0.000126
200,1000,26.5728813,0.000156
300,100,1.2945936,0.000023
300,200,2.0222617,0.000015
300,300,3.8427859,0.000025
300,400,7.0569782,0.000054
300,500,7.0878833,0.000050
300,600,15.9122097,0.000102
300,700,17.4995334,0.000104
300,800,29.9763427,0.000182
300,900,37.5269320,0.000220
300,1000,42.9584735,0.000233
400,100,1.6157495,0.000013
400,200,2.3304127,0.000024
400,300,3.5191309,0.000033
400,400,8.7287047,0.000062
400,500,12.6380846,0.000083
400,600,17.3567042,0.000109
400,700,20.7128807,0.000125
400,800,36.6989290,0.000216
400,900,43.5803731,0.000243
400,1000,42.1398139,0.000246
500,100,1.4070260,0.000026
500,200,2.9193735,0.000027
500,300,4.8099095,0.000034
500,400,5.9023850,0.000043
500,500,17.1071505,0.000098
500,600,24.5582772,0.000146
500,700,34.3950348,0.000201
500,800,53.2466063,0.000312
500,900,41.4974633,0.000238
500,1000,53.0108356,0.000305
600,100,2.1305297,0.000029
600,200,5.1209901,0.000039
600,300,8.5753254,0.000058
600,400,9.6421548,0.000063
600,500,18.8927801,0.000119
600,600,22.4866696,0.000134
600,700,39.3717836,0.000234
600,800,56.7108212,0.000320
600,900,66.0325154,0.000382
600,1000,95.8534689,0.000568
700,100,2.6454745,0.000019
700,200,5.8743558,0.000044
700,300,10.1580349,0.000069
700,400,14.1229722,0.000079
700,500,25.0161246,0.000145
700,600,38.8793227,0.000222
700,700,37.9255597,0.000210
700,800,71.8168348,0.000392
700,900,83.5594078,0.000486
700,1000,79.6529777,0.000481
800,100,2.3570306,0.000020
800,200,6.7193933,0.000039
800,300,10.8327409,0.000069
800,400,15.6971951,0.000103
800,500,21.4542096,0.000122
800,600,38.6153582,0.000213
800,700,56.7477492,0.000309
800,800,68.4118127,0.000382
800,900,68.0242534,0.000405
800,1000,122.5480103,0.000703
900,100,2.5614127,0.000028
900,200,5.5582275,0.000033
900,300,6.7841124,0.000044
900,400,12.0362840,0.000074
900,500,33.7591537,0.000205
900,600,33.7094158,0.000186
900,700,40.2827596,0.000230
900,800,96.8047637,0.000552
900,900,91.3189507,0.000528
900,1000,90.2412224,0.000576
1000,100,3.7895162,0.000024
1000,200,8.1492452,0.000055
1000,300,9.2743165,0.000062
1000,400,15.5992230,0.000090
1000,500,31.4761901,0.000186
1000,600,33.0694119,0.000200
1000,700,75.2665579,0.000464
1000,800,79.2407640,0.000449
1000,900,122.4898940,0.000694
1000,1000,126.7501402,0.000725
